posted_datetime,engagement_score,sentiment_score,like_count,comment_count,share_count,gunluk_post_sayisi,Lag_1_Etkilesim,Lag_2_Etkilesim,Lag_7_Etkilesim,Lag_1_Duygu,Rolling_7_Etkilesim_Ort,Rolling_7_Etkilesim_Std,Rolling_14_Etkilesim_Ort,Rolling_7_Duygu_Ort
2024-01-01,0.575,-0.5,44011,10261,4288,4,,,,,,,,
2024-01-02,0.57375,0.23249999999999998,68863,16520,8410,8,0.575,,,-0.5,,,,
2024-01-03,,,0,0,0,0,0.57375,0.575,,0.23249999999999998,,,,
2024-01-04,0.5966666666666667,0.016666666666666646,44937,8178,5123,3,,0.57375,,,,,,
2024-01-05,0.6933333333333334,-0.013333333333333345,34907,5991,2601,3,0.5966666666666667,,,0.016666666666666646,,,,
2024-01-06,0.418,0.13999999999999999,44568,8419,8293,5,0.6933333333333334,0.5966666666666667,,-0.013333333333333345,,,,
2024-01-07,0.575,-0.435,6007,5691,3267,2,0.418,0.6933333333333334,,0.13999999999999999,,,,
2024-01-08,0.43,-0.2,3819,9573,2878,2,0.575,0.418,0.575,-0.435,,,,
2024-01-09,0.41500000000000004,0.40499999999999997,12117,2430,1610,2,0.43,0.575,0.57375,-0.2,,,,
2024-01-10,0.43,0.62,6154,6004,5376,2,0.41500000000000004,0.43,,0.40499999999999997,0.5082857142857143,0.11226134003123456,,0.07619047619047617
2024-01-11,0.91,-0.18,3246,2649,2898,1,0.43,0.41500000000000004,0.5966666666666667,0.62,0.553047619047619,0.1893644759766329,,0.04809523809523809
2024-01-12,0.4875,0.03,48213,9039,6272,4,0.91,0.43,0.6933333333333334,-0.18,0.5236428571428571,0.17968368370688587,,0.05428571428571427
2024-01-13,0.505,-0.7,21998,6654,3639,2,0.4875,0.91,0.418,0.03,0.5360714285714285,0.17408006504944515,,-0.06571428571428573
2024-01-14,0.7433333333333333,0.27666666666666667,6429,6690,1902,3,0.505,0.4875,0.575,-0.7,0.5601190476190476,0.19114447498544218,,0.035952380952380944
2024-01-15,0.3983333333333334,-0.3066666666666667,46799,11536,10558,6,0.7433333333333333,0.505,0.43,0.27666666666666667,0.5555952380952381,0.19507163587178208,,0.020714285714285702
2024-01-16,0.5966666666666667,-0.22,26374,5719,1150,3,0.3983333333333334,0.7433333333333333,0.41500000000000004,-0.3066666666666667,0.581547619047619,0.1850778293314813,,-0.06857142857142859
2024-01-17,0.2733333333333334,-0.4216666666666667,35430,8786,6591,6,0.5966666666666667,0.3983333333333334,0.43,-0.22,0.5591666666666667,0.21371547804395347,0.5337261904761904,-0.2173809523809524
2024-01-18,0.34833333333333333,0.08166666666666665,74769,13659,7723,6,0.2733333333333334,0.5966666666666667,0.91,-0.4216666666666667,0.47892857142857137,0.15829583933673919,0.5159880952380952,-0.18000000000000002
